,Location,Borough,Postcode,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
81,Kilburn,Brent,NW6,51.541870000000074,-0.1979499999999348,0,Bakery,Café,Pub,Park,Coffee Shop,Movie Theater,Thai Restaurant,Gym / Fitness Center,Pizza Place,Restaurant
82,Kingsbury,Brent,NW9,51.58486000000005,-0.24880999999993492,0,Coffee Shop,Grocery Store,Café,Gym / Fitness Center,Supermarket,Park,Pub,Chinese Restaurant,Fast Food Restaurant,Clothing Store
83,Kingston Vale,Kingston upon Thames,SW15,51.457550000000026,-0.21844999999996162,1,Park,Café,Coffee Shop,Pub,Pizza Place,Tennis Court,Grocery Store,Tennis Stadium,Italian Restaurant,Gym
84,Ladywell,Lewisham,SE4,51.462680000000034,-0.035579999999924894,1,Coffee Shop,Pub,Park,Bar,Café,Italian Restaurant,Pizza Place,Cocktail Bar,Brewery,Beer Store
85,Lee,Lewisham,SE12,51.44759000000005,0.013500000000021828,1,Pub,Café,Park,Grocery Store,Restaurant,Gym / Fitness Center,Coffee Shop,Bakery,Italian Restaurant,Gym
86,Lewisham,Lewisham,SE13,51.46196000000003,-0.007539999999949032,1,Pub,Coffee Shop,Park,Café,Garden,Supermarket,Bar,Fish & Chips Shop,Street Food Gathering,Indie Movie Theater
87,Leyton,Waltham Forest,E10,51.558850000000064,-0.00732999999996764,1,Pub,Café,Park,Restaurant,Coffee Shop,Bar,Art Gallery,Farm,Mediterranean Restaurant,Italian Restaurant
88,Leytonstone,Waltham Forest,E11,51.576760000000036,0.027230000000031396,1,Pub,Grocery Store,Coffee Shop,Pizza Place,Café,Restaurant,Park,Supermarket,Bakery,Brewery
89,Little Ilford,Newham,E12,51.552410000000066,0.05258000000003449,0,Grocery Store,Park,Indian Restaurant,Pub,Bakery,Pizza Place,Coffee Shop,Supermarket,Hotel,Gym / Fitness Center
90,Longlands,Bexley,SE9,51.444630000000075,0.05212000000005901,0,Grocery Store,Pub,Park,Platform,Gym / Fitness Center,Golf Course,Italian Restaurant,Rugby Pitch,Mediterranean Restaurant,Fish & Chips Shop
91,Manor Park,Newham,E12,51.552410000000066,0.05258000000003449,0,Grocery Store,Park,Indian Restaurant,Pub,Bakery,Pizza Place,Coffee Shop,Supermarket,Hotel,Gym / Fitness Center
92,Maryland,Newham,E15,51.540140000000065,0.0027800000000297587,1,Pub,Café,Park,Restaurant,Grocery Store,Bar,Hotel,Art Gallery,Italian Restaurant,Coffee Shop
93,Maze Hill,Greenwich,SE10,51.48454000000004,0.002750000000048658,1,Pub,Park,Coffee Shop,Garden,Café,Bar,Furniture / Home Store,Scenic Lookout,History Museum,Pizza Place
94,Merton Park,Merton,SW19,51.421700000000044,-0.2079599999999573,1,Pub,Park,Coffee Shop,Sushi Restaurant,Tennis Stadium,Italian Restaurant,Burger Joint,Café,Tennis Court,Scenic Lookout
95,Middle Park,Greenwich,SE9,51.444630000000075,0.05212000000005901,0,Grocery Store,Pub,Park,Platform,Gym / Fitness Center,Golf Course,Italian Restaurant,Rugby Pitch,Mediterranean Restaurant,Fish & Chips Shop
96,Mill Hill,Barnet,NW7,51.615680000000054,-0.2451099999999542,0,Supermarket,Pub,Coffee Shop,Grocery Store,Bakery,Gym / Fitness Center,Park,Sandwich Place,Chinese Restaurant,Golf Course
97,Mortlake,Richmond upon Thames,SW14,51.46482000000003,-0.26590999999996257,1,Pub,Coffee Shop,Park,Garden,Restaurant,Botanical Garden,Café,Tea Room,French Restaurant,Italian Restaurant
98,Mottingham,Bromley,SE9,51.444630000000075,0.05212000000005901,0,Grocery Store,Pub,Park,Platform,Gym / Fitness Center,Golf Course,Italian Restaurant,Rugby Pitch,Mediterranean Restaurant,Fish & Chips Shop
99,Muswell Hill,Barnet,N10,51.59107000000006,-0.14851999999996224,1,Pub,Café,Coffee Shop,Bakery,Park,Gym / Fitness Center,Pizza Place,French Restaurant,Turkish Restaurant,Trail
100,Neasden,Brent,NW2,51.562370000000044,-0.22130999999995993,0,Park,Café,Italian Restaurant,Grocery Store,Pub,Korean Restaurant,Sushi Restaurant,Bakery,Pizza Place,Supermarket
101,New Cross,Lewisham,SE14,51.47489000000007,-0.04037999999997055,1,Coffee Shop,Pub,Café,Italian Restaurant,Park,Bar,Beer Store,Cocktail Bar,Gastropub,Fish & Chips Shop
102,New Eltham,Greenwich,SE9,51.444630000000075,0.05212000000005901,0,Grocery Store,Pub,Park,Platform,Gym / Fitness Center,Golf Course,Italian Restaurant,Rugby Pitch,Mediterranean Restaurant,Fish & Chips Shop
103,New Southgate,Barnet,N11,51.616310000000055,-0.1383899999999585,0,Café,Park,Grocery Store,Greek Restaurant,Pub,Portuguese Restaurant,Bakery,Gym / Fitness Center,Coffee Shop,Turkish Restaurant
104,Nine Elms,Wandsworth,SW8,51.476230000000044,-0.13055999999994583,1,Café,Coffee Shop,Park,Pub,Market,Deli / Bodega,Bakery,Italian Restaurant,Gastropub,Pizza Place
105,Norbury,Croydon,SW16,51.41870000000006,-0.12752999999997883,1,Pub,Coffee Shop,Café,Bar,Park,Italian Restaurant,Supermarket,Pizza Place,Grocery Store,Bakery
106,North Finchley,Barnet,N12,51.615920000000074,-0.1767399999999384,0,Coffee Shop,Grocery Store,Pub,Supermarket,Turkish Restaurant,Café,Park,Italian Restaurant,Bakery,Indian Restaurant
107,North Woolwich,Newham,E16,51.50913000000003,0.015280000000075233,0,Hotel,Coffee Shop,Park,Pub,Italian Restaurant,Gym / Fitness Center,Bar,Turkish Restaurant,Scenic Lookout,English Restaurant
108,Oakleigh Park,Barnet,N20,51.63261000000006,-0.17561999999992395,1,Coffee Shop,Pub,Grocery Store,Café,Italian Restaurant,Supermarket,Park,Turkish Restaurant,Fish & Chips Shop,Greek Restaurant
109,Osidge,Barnet,N14,51.63429000000008,-0.13365999999996347,0,Grocery Store,Pub,Coffee Shop,Café,Italian Restaurant,Park,Turkish Restaurant,Supermarket,Greek Restaurant,Bakery
110,Palmers Green,Enfield,N13,51.62003000000004,-0.10659999999995762,0,Grocery Store,Coffee Shop,Turkish Restaurant,Supermarket,Pub,Park,Café,Greek Restaurant,Mediterranean Restaurant,Pizza Place
111,Park Royal,Brent,NW10,51.53938000000005,-0.25204999999994016,1,Pub,Café,Park,Coffee Shop,Portuguese Restaurant,Italian Restaurant,Middle Eastern Restaurant,Restaurant,Gym / Fitness Center,Thai Restaurant
112,Park Royal,Ealing,NW10,51.53938000000005,-0.25204999999994016,1,Pub,Café,Park,Coffee Shop,Portuguese Restaurant,Italian Restaurant,Middle Eastern Restaurant,Restaurant,Gym / Fitness Center,Thai Restaurant
113,Penge,Bromley,SE20,51.41009000000008,-0.05682999999993399,1,Pub,Park,Café,Italian Restaurant,Gastropub,Gym / Fitness Center,Indian Restaurant,Coffee Shop,Supermarket,Grocery Store
114,Plaistow,Newham,E13,51.52653000000004,0.02876000000003387,0,Hotel,Pub,Park,Coffee Shop,Grocery Store,Café,Indian Restaurant,Supermarket,Hotel Bar,Italian Restaurant
115,Plumstead,Greenwich,SE18,51.48207000000008,0.07143000000002075,0,Grocery Store,Pub,Park,Café,Coffee Shop,Gym / Fitness Center,Bakery,Italian Restaurant,Discount Store,Clothing Store
116,Putney,Wandsworth,SW15,51.457550000000026,-0.21844999999996162,1,Park,Café,Coffee Shop,Pub,Pizza Place,Tennis Court,Grocery Store,Tennis Stadium,Italian Restaurant,Gym
117,Queen's Park,Brent,NW6,51.541870000000074,-0.1979499999999348,0,Bakery,Café,Pub,Park,Coffee Shop,Movie Theater,Thai Restaurant,Gym / Fitness Center,Pizza Place,Restaurant
118,Queensbury,Harrow,HA3,51.50642000000005,-0.1272099999999341,0,Hotel,Bookstore,Clothing Store,Theater,Plaza,Indian Restaurant,Steakhouse,Cocktail Bar,Lounge,History Museum
119,Queensbury,Brent,HA3,51.50642000000005,-0.1272099999999341,0,Hotel,Bookstore,Clothing Store,Theater,Plaza,Indian Restaurant,Steakhouse,Cocktail Bar,Lounge,History Museum
120,Raynes Park,Merton,SW20,51.41117000000003,-0.22622999999993,0,Park,Korean Restaurant,Pub,Tennis Court,Café,Sushi Restaurant,Tennis Stadium,Italian Restaurant,Supermarket,Gym
121,Roehampton,Wandsworth,SW15,51.457550000000026,-0.21844999999996162,1,Park,Café,Coffee Shop,Pub,Pizza Place,Tennis Court,Grocery Store,Tennis Stadium,Italian Restaurant,Gym
122,Selhurst,Croydon,SE25,51.39925000000005,-0.07413999999994303,1,Pub,Grocery Store,Park,Coffee Shop,Café,Italian Restaurant,Gastropub,Gym / Fitness Center,Fast Food Restaurant,Pizza Place
123,Shooter's Hill,Greenwich,SE18,51.48207000000008,0.07143000000002075,0,Grocery Store,Pub,Park,Café,Coffee Shop,Gym / Fitness Center,Bakery,Italian Restaurant,Discount Store,Clothing Store
124,Silvertown,Newham,E16,51.50913000000003,0.015280000000075233,0,Hotel,Coffee Shop,Park,Pub,Italian Restaurant,Gym / Fitness Center,Bar,Turkish Restaurant,Scenic Lookout,English Restaurant
125,Snaresbrook,Redbridge,E11,51.576760000000036,0.027230000000031396,1,Pub,Grocery Store,Coffee Shop,Pizza Place,Café,Restaurant,Park,Supermarket,Bakery,Brewery
126,Snaresbrook,Waltham Forest,E11,51.576760000000036,0.027230000000031396,1,Pub,Grocery Store,Coffee Shop,Pizza Place,Café,Restaurant,Park,Supermarket,Bakery,Brewery
127,South Norwood,Croydon,SE25,51.39925000000005,-0.07413999999994303,1,Pub,Grocery Store,Park,Coffee Shop,Café,Italian Restaurant,Gastropub,Gym / Fitness Center,Fast Food Restaurant,Pizza Place
128,South Wimbledon,Merton,SW19,51.421700000000044,-0.2079599999999573,1,Pub,Park,Coffee Shop,Sushi Restaurant,Tennis Stadium,Italian Restaurant,Burger Joint,Café,Tennis Court,Scenic Lookout
129,South Woodford,Redbridge,E18,51.589770000000044,0.030520000000024083,1,Pub,Grocery Store,Pizza Place,Coffee Shop,Café,Turkish Restaurant,Indian Restaurant,Park,Bakery,Italian Restaurant
130,Southend,Lewisham,SE6,51.43722000000008,-0.018679999999960728,1,Pub,Coffee Shop,Grocery Store,Park,Café,Supermarket,Gym / Fitness Center,Italian Restaurant,Indian Restaurant,Fish & Chips Shop
131,Southfields,Wandsworth,SW18,51.45066000000003,-0.18996999999995978,1,Coffee Shop,Park,Pub,Pizza Place,Café,Supermarket,Grocery Store,Tennis Stadium,Gym,Breakfast Spot
132,Southgate,Enfield,N14,51.63429000000008,-0.13365999999996347,0,Grocery Store,Pub,Coffee Shop,Café,Italian Restaurant,Park,Turkish Restaurant,Supermarket,Greek Restaurant,Bakery
133,St Johns,Lewisham,SE4,51.462680000000034,-0.035579999999924894,1,Coffee Shop,Pub,Park,Bar,Café,Italian Restaurant,Pizza Place,Cocktail Bar,Brewery,Beer Store
134,Stonebridge,Brent,NW10,51.53938000000005,-0.25204999999994016,1,Pub,Café,Park,Coffee Shop,Portuguese Restaurant,Italian Restaurant,Middle Eastern Restaurant,Restaurant,Gym / Fitness Center,Thai Restaurant
135,Stratford,Newham,E15,51.540140000000065,0.0027800000000297587,1,Pub,Café,Park,Restaurant,Grocery Store,Bar,Hotel,Art Gallery,Italian Restaurant,Coffee Shop
136,"Sydenham (also Lower Sydenham, Upper Sydenham)",Lewisham,SE26,51.42674000000005,-0.05532999999996946,1,Pub,Italian Restaurant,Café,Coffee Shop,Pizza Place,Park,Gastropub,Indian Restaurant,Garden Center,Gym / Fitness Center
137,"Sydenham (also Lower Sydenham, Upper Sydenham)",Bromley,SE26,51.42674000000005,-0.05532999999996946,1,Pub,Italian Restaurant,Café,Coffee Shop,Pizza Place,Park,Gastropub,Indian Restaurant,Garden Center,Gym / Fitness Center
138,Sydenham Hill,Lewisham,SE21,51.44100000000003,-0.08896999999996069,1,Coffee Shop,Park,Pub,Pizza Place,Café,Gym / Fitness Center,Market,Brewery,Bakery,Yoga Studio
139,Thamesmead,Bexley,SE28,51.50527000000005,0.12013000000007423,0,Supermarket,Grocery Store,Pharmacy,Coffee Shop,Fast Food Restaurant,Clothing Store,Chinese Restaurant,Gym / Fitness Center,Warehouse Store,Hardware Store
140,Thamesmead,Greenwich,SE28,51.50527000000005,0.12013000000007423,0,Supermarket,Grocery Store,Pharmacy,Coffee Shop,Fast Food Restaurant,Clothing Store,Chinese Restaurant,Gym / Fitness Center,Warehouse Store,Hardware Store
141,Tooting,Wandsworth,SW17,51.43037000000004,-0.1655799999999772,1,Pub,Coffee Shop,Café,Italian Restaurant,Park,Bar,Indian Restaurant,Pizza Place,French Restaurant,Burger Joint
142,Tooting Bec,Wandsworth,SW17,51.43037000000004,-0.1655799999999772,1,Pub,Coffee Shop,Café,Italian Restaurant,Park,Bar,Indian Restaurant,Pizza Place,French Restaurant,Burger Joint
143,Totteridge,Barnet,N20,51.63261000000006,-0.17561999999992395,1,Coffee Shop,Pub,Grocery Store,Café,Italian Restaurant,Supermarket,Park,Turkish Restaurant,Fish & Chips Shop,Greek Restaurant
144,Upper Norwood,Croydon,SE19,51.41990000000004,-0.08807999999993399,1,Pub,Park,Italian Restaurant,Coffee Shop,Café,Gastropub,Gym / Fitness Center,Indian Restaurant,Bakery,Supermarket
145,Upper Walthamstow,Waltham Forest,E17,51.58477000000005,-0.019429999999942993,1,Pub,Coffee Shop,Café,Park,Brewery,Restaurant,Grocery Store,Gym,Supermarket,Bakery
146,Upton Park,Newham,E6,51.53292000000005,0.05461000000002514,0,Indian Restaurant,Hotel,Coffee Shop,Supermarket,Pub,Park,Gym / Fitness Center,Light Rail Station,Ice Cream Shop,Clothing Store
147,Walthamstow,Waltham Forest,E17,51.58477000000005,-0.019429999999942993,1,Pub,Coffee Shop,Café,Park,Brewery,Restaurant,Grocery Store,Gym,Supermarket,Bakery
148,Walthamstow Village,Waltham Forest,E17,51.58477000000005,-0.019429999999942993,1,Pub,Coffee Shop,Café,Park,Brewery,Restaurant,Grocery Store,Gym,Supermarket,Bakery
149,Wandsworth,Wandsworth,SW18,51.45066000000003,-0.18996999999995978,1,Coffee Shop,Park,Pub,Pizza Place,Café,Supermarket,Grocery Store,Tennis Stadium,Gym,Breakfast Spot
150,Wanstead,Redbridge,E11,51.576760000000036,0.027230000000031396,1,Pub,Grocery Store,Coffee Shop,Pizza Place,Café,Restaurant,Park,Supermarket,Bakery,Brewery
151,Well Hall,Greenwich,SE9,51.444630000000075,0.05212000000005901,0,Grocery Store,Pub,Park,Platform,Gym / Fitness Center,Golf Course,Italian Restaurant,Rugby Pitch,Mediterranean Restaurant,Fish & Chips Shop
152,West Ealing,Ealing,W13,51.514530000000036,-0.31950999999997975,1,Pub,Park,Coffee Shop,Hotel,Italian Restaurant,Café,Burger Joint,Pizza Place,Supermarket,Greek Restaurant
153,West Ham,Newham,E13,51.52653000000004,0.02876000000003387,0,Hotel,Pub,Park,Coffee Shop,Grocery Store,Café,Indian Restaurant,Supermarket,Hotel Bar,Italian Restaurant
154,West Heath,Bexley,SE2,51.492450000000076,0.12127000000003818,0,Grocery Store,Supermarket,Pub,Fast Food Restaurant,Bakery,Historic Site,Train Station,Clothing Store,Gastropub,Gym / Fitness Center
155,West Hendon,Barnet,NW9,51.58486000000005,-0.24880999999993492,0,Coffee Shop,Grocery Store,Café,Gym / Fitness Center,Supermarket,Park,Pub,Chinese Restaurant,Fast Food Restaurant,Clothing Store
156,Westcombe Park,Greenwich,SE3,51.47138000000007,0.023380000000031487,1,Pub,Park,Garden,Café,Turkish Restaurant,Historic Site,Grocery Store,Market,Furniture / Home Store,French Restaurant
157,Whetstone,Barnet,N20,51.63261000000006,-0.17561999999992395,1,Coffee Shop,Pub,Grocery Store,Café,Italian Restaurant,Supermarket,Park,Turkish Restaurant,Fish & Chips Shop,Greek Restaurant
158,Willesden,Brent,NW10,51.53938000000005,-0.25204999999994016,1,Pub,Café,Park,Coffee Shop,Portuguese Restaurant,Italian Restaurant,Middle Eastern Restaurant,Restaurant,Gym / Fitness Center,Thai Restaurant
159,Wimbledon,Merton,SW19,51.421700000000044,-0.2079599999999573,1,Pub,Park,Coffee Shop,Sushi Restaurant,Tennis Stadium,Italian Restaurant,Burger Joint,Café,Tennis Court,Scenic Lookout
160,Winchmore Hill,Enfield,N21,51.63519000000008,-0.09302999999994199,1,Pub,Coffee Shop,Supermarket,Turkish Restaurant,Gym / Fitness Center,Park,Grocery Store,Café,Greek Restaurant,Fish & Chips Shop
161,Woodford,Redbridge,IG8,51.50642000000005,-0.1272099999999341,0,Hotel,Bookstore,Clothing Store,Theater,Plaza,Indian Restaurant,Steakhouse,Cocktail Bar,Lounge,History Museum
162,Woodford Green,Redbridge,IG8,51.50642000000005,-0.1272099999999341,0,Hotel,Bookstore,Clothing Store,Theater,Plaza,Indian Restaurant,Steakhouse,Cocktail Bar,Lounge,History Museum
163,Woodford Green,Waltham Forest,IG8,51.50642000000005,-0.1272099999999341,0,Hotel,Bookstore,Clothing Store,Theater,Plaza,Indian Restaurant,Steakhouse,Cocktail Bar,Lounge,History Museum
164,Woodside Park,Barnet,N12,51.615920000000074,-0.1767399999999384,0,Coffee Shop,Grocery Store,Pub,Supermarket,Turkish Restaurant,Café,Park,Italian Restaurant,Bakery,Indian Restaurant
165,Woolwich,Greenwich,SE18,51.48207000000008,0.07143000000002075,0,Grocery Store,Pub,Park,Café,Coffee Shop,Gym / Fitness Center,Bakery,Italian Restaurant,Discount Store,Clothing Store
